Onset,Offset
84.367,84.4
84.667,84.734
85.067,85.1
86.367,86.5
89.434,89.534
89.767,89.8
90.067,90.1
90.234,90.3
91.134,91.2
92.7,92.734
93.134,93.167
93.4,93.467
93.967,94.0
94.367,94.434
94.5,94.9
94.967,95.0
95.9,95.934
96.334,96.434
97.167,97.2
97.4,97.667
97.734,97.767
97.867,98.1
98.267,98.434
98.5,98.534
98.734,98.8
99.1,99.134
99.734,99.8
99.867,100.034
100.134,100.2
102.6,102.634
102.8,102.834
103.034,103.167
103.367,103.5
105.634,105.667
106.1,106.2
106.7,106.734
106.934,107.0
107.3,107.434
107.634,107.934
109.4,109.834
110.134,110.2
111.834,111.9
113.134,113.234
113.4,113.434
113.5,113.534
113.867,114.034
114.334,114.367
114.667,114.767
115.434,115.5
115.667,115.7
115.967,116.0
116.067,116.134
117.367,117.434
117.634,117.667
118.067,118.167
120.8,120.867
122.334,122.367
122.567,122.634
124.867,125.167
125.467,125.7
125.8,125.967
126.067,126.134
127.2,127.234
127.567,127.7
127.9,128.067
128.567,128.734
131.534,131.567
134.267,134.334
134.667,134.734
134.934,134.967
135.367,135.567
135.634,135.667
135.934,135.967
137.6,137.634
139.034,139.1
139.534,139.767
139.967,140.167
140.467,140.5
141.2,141.234
142.634,142.667
145.067,145.2
146.3,146.334
146.634,146.7
146.867,146.9
148.2,148.234
148.434,148.467
149.534,149.634
149.7,149.734
149.8,149.9
150.034,150.2
150.334,150.367
151.3,151.534
151.867,151.934
152.234,152.3
152.434,152.534
152.6,152.667
153.134,153.167
154.934,154.967
155.367,155.4
155.667,155.7
155.967,156.0
157.2,157.234
158.134,158.2
161.034,161.067
163.0,163.067
163.234,163.3
163.434,163.6
164.867,164.934
165.567,165.634
166.067,166.134
166.6,166.667
167.734,167.767
167.834,167.867
168.134,168.167
168.267,168.4
170.234,170.267
170.5,170.567
170.667,171.0
171.067,171.167
172.534,172.567
172.767,172.8
173.234,173.367
174.734,174.8
174.9,174.934
175.1,175.167
175.434,175.534
175.8,175.867
176.7,176.734
177.3,177.334
177.567,177.634
177.934,178.134
178.634,178.667
179.367,179.4
180.0,180.034
180.1,180.267
180.334,180.467
180.667,180.8
180.9,180.934
182.467,182.5
182.667,182.734
183.134,183.167
183.834,183.867
183.934,183.967
184.4,184.5
184.567,184.634
184.9,185.0
185.2,185.3
185.734,185.967
186.067,186.234
186.467,186.634
187.2,187.334
187.4,187.434
187.667,187.7
187.9,188.0
188.067,188.167
188.267,188.334
188.667,188.867
189.667,189.8
190.934,191.0
191.067,191.167
191.8,191.9
192.3,192.334
192.767,192.867
193.234,193.334
196.0,196.234
197.534,197.634
197.7,197.734
197.8,197.834
198.167,198.267
198.734,198.767
198.867,199.067
199.3,199.467
199.6,199.667
200.2,200.234
200.334,200.367
200.634,200.8
200.867,200.934
201.0,201.034
201.367,201.667
202.367,203.067
203.867,203.934
204.167,204.467
204.534,204.6
204.8,205.167
205.334,205.4
205.534,205.6
206.0,206.1
206.267,206.3
206.367,206.5
206.6,206.634
206.7,206.8
206.867,206.934
207.067,207.167
207.234,207.934
208.034,208.234
208.8,208.834
209.6,209.634
210.5,210.534
210.834,210.9
211.2,211.234
211.534,211.634
213.634,213.7
214.034,214.3
215.134,215.234
215.967,216.0
216.334,216.367
217.567,217.9
218.0,218.534
218.6,218.634
218.934,218.967
219.034,219.067
219.267,219.334
219.434,219.534
219.6,219.634
219.767,219.8
219.9,220.1
220.234,220.267
220.4,220.567
220.734,220.8
221.034,221.067
221.534,221.567
222.1,222.134
223.167,223.234
223.6,223.667
223.9,223.967
224.034,224.134
224.267,224.534
224.767,224.8
224.867,224.9
225.067,225.167
225.367,225.467
225.734,225.767
226.034,226.1
226.3,226.334
226.434,226.467
227.567,227.6
229.767,229.8
230.867,230.9
231.234,231.334
231.467,231.6
233.5,233.6
234.0,234.134
234.4,234.634
234.734,234.834
234.9,234.967
235.034,235.067
235.134,235.167
235.3,235.367
235.467,235.534
235.667,235.767
236.734,237.167
237.767,238.434
239.634,239.667
240.334,240.434
246.367,246.434
247.1,247.167
247.7,247.767
247.9,247.934
248.334,248.367
249.934,249.967
252.1,252.167
253.367,253.4
256.4,256.434
257.6,257.667
257.834,257.867
260.934,261.0
261.267,261.3
261.367,261.4
263.634,263.667
264.734,264.767
264.9,264.934
265.6,265.7
265.767,266.034
266.234,266.267
268.067,268.1
268.4,268.434
270.067,270.134
270.3,270.367
271.1,271.134
278.534,278.6
279.734,279.767
280.167,280.2
280.3,280.367
280.7,280.734
281.267,281.3
281.4,281.434
281.9,281.967
284.6,284.7
290.8,290.834
292.167,292.2
292.434,292.467
293.167,293.2
297.367,297.4
301.634,301.667
303.5,303.567
306.467,306.6
306.7,306.867
307.134,307.167
308.2,308.234
308.4,308.7
309.0,309.867
310.1,310.267
312.267,312.3
313.034,313.067
313.534,313.6
313.9,313.967
314.867,314.9
315.434,315.5
315.767,315.967
319.5,319.534
320.7,320.734
321.6,321.734
321.9,322.1
322.2,322.734
322.9,323.134
323.267,323.334
323.4,323.434
324.434,324.5
325.234,325.3
325.467,325.9
326.4,326.434
326.5,326.634
327.134,327.234
328.334,328.367
328.934,329.0
329.634,329.667
329.8,329.867
330.0,330.067
330.2,330.234
330.634,330.667
331.234,331.3
331.934,331.967
333.334,333.4
333.567,333.6
334.034,334.067
334.3,334.334
334.667,334.7
335.234,335.267
335.4,335.434
335.567,335.6
335.9,336.0
336.1,336.134
336.3,336.4
337.134,337.167
338.4,338.5
338.7,338.734
338.867,338.9
339.634,339.667
341.3,341.434
341.534,341.6
342.067,342.1
342.367,342.4
344.067,344.234
347.0,347.067
347.3,347.367
348.267,348.3
348.434,348.467
348.534,348.6
348.667,348.767
349.3,349.334
349.867,349.9
351.3,351.367
351.834,351.934
356.9,357.2
357.267,357.3
359.167,359.2
359.8,359.9
360.767,360.8
361.1,361.134
362.5,362.567
362.734,362.834
362.967,363.0
364.7,364.734
365.967,366.034
367.767,367.9
368.067,368.1
368.234,368.334
368.634,368.767
369.967,370.034
370.1,370.134
370.434,370.567
370.7,370.767
370.934,371.1
371.234,371.334
375.1,375.167
376.3,376.334
376.8,376.834
377.267,377.4
377.934,378.1
379.4,379.567
381.2,381.267
381.334,381.367
381.434,381.734
381.8,381.934
382.034,382.167
383.567,383.667
384.934,384.967
387.2,387.234
387.667,387.7
388.5,388.534
388.634,388.834
388.934,389.0
390.9,390.934
392.167,392.267
392.867,392.934
394.134,394.2
394.9,394.934
395.734,395.8
397.834,397.867
399.367,399.4
400.034,400.067
400.3,400.367
400.467,400.534
401.167,401.2
401.3,401.367
401.5,401.534
404.3,404.334
404.567,404.6
406.434,406.467
406.734,406.767
407.5,407.534
408.767,408.834
409.534,409.567
409.9,410.0
411.7,411.767
412.434,412.467
412.767,413.034
413.267,413.467
413.967,414.0
414.5,414.8
415.0,415.034
415.2,415.5
415.6,415.667
415.767,415.9
417.0,417.1
417.334,417.4
418.167,418.234
419.034,419.134
419.434,419.467
419.6,419.634
419.8,419.9
420.6,420.634
420.8,420.9
421.534,421.567
421.834,421.867
422.034,422.434
422.567,422.834
423.034,423.134
424.334,424.434
424.7,424.734
424.834,425.034
425.334,425.367
425.8,426.067
426.4,426.6
426.7,426.8
428.234,428.3
428.5,428.6
428.667,428.7
428.934,429.0
429.067,429.134
429.634,429.7
430.7,430.734
431.234,431.267
431.5,431.667
431.767,431.8
431.934,431.967
432.034,432.234
432.3,432.4
434.1,434.7
435.0,435.034
435.267,435.567
435.667,435.767
435.9,436.167
436.334,436.4
436.9,437.067
438.0,438.034
439.834,439.9
442.434,442.467
442.634,442.667
443.4,443.467
443.834,443.867
444.067,444.2
444.467,444.5
448.767,448.867
451.1,451.134
451.2,451.5
452.3,452.334
452.734,452.767
454.267,454.3
454.534,454.734
454.867,454.967
455.1,455.134
456.734,456.767
457.134,457.2
457.334,457.434
465.3,465.334
465.967,466.0
467.234,467.267
469.567,469.634
470.534,470.6
472.167,472.2
473.3,473.4
473.467,473.534
474.4,474.567
477.134,477.167
477.734,477.8
478.234,478.267
479.767,479.8
480.634,480.667
480.734,480.767
480.9,480.934
481.034,481.067
481.434,481.567
482.0,482.034
482.534,482.734
482.934,483.334
484.334,484.367
485.067,485.234
485.3,485.467
485.734,485.834
486.667,486.7
486.9,487.1
487.367,487.4
487.8,487.867
488.867,488.9
493.467,493.5
494.434,494.467
494.6,494.634
496.367,496.5
496.6,496.967
497.1,497.267
498.634,498.834
499.7,499.734
499.8,499.867
502.234,502.267
503.4,503.534
504.9,504.934
506.567,506.667
508.434,508.567
509.134,509.167
509.734,509.767
510.234,510.267
510.8,510.834
510.934,511.034
511.267,511.634
512.867,512.967
514.5,514.6
514.967,515.0
515.7,515.734
517.0,517.134
518.167,518.5
518.834,518.867
521.934,522.0
522.234,522.3
522.5,522.634
522.7,522.734
523.134,523.167
524.634,524.7
524.867,524.9
525.167,525.234
526.267,526.3
527.234,527.267
527.334,527.367
528.6,528.634
529.234,529.3
530.634,530.967
531.067,531.4
531.634,531.7
532.3,532.367
532.5,533.234
533.367,533.5
534.2,534.334
534.434,534.7
534.767,534.934
538.734,538.9
540.2,540.234
540.434,540.5
540.734,540.767
541.7,541.767
542.267,542.467
542.634,542.7
543.467,543.8
545.734,545.767
547.567,547.7
547.767,547.8
550.667,550.734
550.967,551.167
551.8,551.834
552.067,552.467
553.034,553.134
553.434,553.534
553.634,553.7
553.834,553.867
554.167,555.467
556.534,556.8
557.1,557.234
558.9,558.934
559.2,559.234
559.367,559.434
560.7,560.734
562.067,562.134
562.834,562.9
563.567,563.6
563.7,563.8
564.034,564.067
564.167,564.267
564.6,564.8
566.0,566.067
567.167,567.2
569.5,569.534
569.9,569.934
570.5,570.6
571.067,571.234
571.334,571.567
571.934,571.967
572.1,572.2
572.367,572.434
574.9,574.934
575.6,575.9
577.734,577.767
578.167,578.5
578.734,578.867
581.534,581.634
581.8,581.867
582.434,582.467
582.767,582.9
583.134,583.334
583.934,584.0
584.134,584.3
584.4,584.634
584.7,584.767
587.3,587.334
587.934,587.967
588.067,588.6
588.834,588.934
589.5,589.567
592.167,592.234
593.2,593.267
595.1,595.167
595.767,595.834
596.0,596.234
596.5,596.534
596.8,597.034
597.167,597.367
601.2,601.234
605.4,605.467
605.967,606.034
606.434,606.634
607.434,607.534
608.367,608.4
608.734,608.767
608.9,608.934
609.7,609.734
611.634,611.667
