Onset,Offset
85.0,85.167
86.334,86.367
87.434,87.534
90.034,90.167
91.067,91.1
91.267,91.3
92.9,92.934
93.534,93.567
94.434,94.5
94.8,94.834
96.267,96.334
97.1,97.134
103.2,103.267
103.667,103.834
104.967,105.0
105.267,105.334
105.434,105.5
105.567,105.634
106.467,106.534
109.2,109.234
113.767,113.8
116.8,116.834
117.867,117.967
118.067,118.1
118.634,118.667
118.734,118.767
118.834,118.867
119.8,119.834
119.934,119.967
120.034,120.067
120.7,120.867
121.0,121.034
121.934,121.967
125.3,125.4
126.234,126.3
129.467,129.534
131.467,131.5
132.967,133.034
133.467,133.5
135.5,135.567
136.634,139.967
140.667,141.0
141.867,141.9
142.2,142.267
142.467,142.5
142.867,142.9
143.067,143.134
143.2,143.234
143.8,143.9
147.134,147.167
148.7,148.734
148.8,148.834
148.967,149.0
149.2,149.334
149.534,149.567
149.667,149.834
150.034,150.234
150.6,150.8
150.967,151.067
151.134,151.167
151.434,151.467
151.567,151.667
152.034,152.067
152.334,152.567
152.834,152.867
153.034,153.067
153.7,153.734
154.6,154.7
154.767,155.434
155.5,156.667
157.634,157.667
157.734,157.967
158.167,158.267
158.567,158.6
160.2,160.234
161.067,161.1
161.4,161.534
162.434,162.467
162.634,162.667
162.834,162.867
165.4,165.434
165.8,166.0
166.434,166.5
167.167,167.2
173.067,173.1
173.334,173.434
174.034,174.134
175.167,175.2
175.3,175.434
175.534,175.634
175.734,175.834
176.267,176.3
176.4,176.434
176.834,176.9
177.034,177.067
177.3,177.334
180.134,180.2
181.334,181.4
182.467,182.534
182.667,182.7
182.967,183.0
186.334,186.367
186.434,186.467
186.534,186.6
187.4,187.567
189.734,189.767
193.967,194.0
194.067,194.1
194.167,194.2
194.4,194.567
194.8,194.834
195.234,195.334
196.134,196.2
197.134,197.234
197.3,197.4
199.067,199.134
199.3,199.334
199.467,199.534
199.734,199.767
199.867,199.9
200.667,200.7
202.667,202.8
203.134,203.167
204.267,204.4
208.1,208.134
210.334,210.5
210.6,210.667
214.767,214.8
217.967,218.0
218.567,218.6
218.934,219.1
219.767,219.8
220.234,220.334
220.534,220.7
220.867,220.934
222.067,222.1
223.2,223.767
224.567,224.6
225.767,225.8
226.3,226.334
228.6,229.434
231.567,231.634
233.2,233.234
233.4,233.467
234.4,234.467
234.7,234.767
234.9,234.934
235.134,235.3
235.6,235.634
236.6,236.634
238.067,238.134
238.234,238.267
238.4,238.467
238.6,238.667
239.034,239.067
239.667,239.734
239.834,239.867
241.534,241.634
241.9,242.2
242.4,242.434
242.934,243.0
243.2,243.234
243.3,243.334
244.834,244.867
245.934,246.0
246.434,246.567
246.634,246.7
248.267,248.3
248.9,249.0
249.1,249.134
250.767,250.834
251.7,251.734
253.834,253.867
254.2,254.234
254.3,254.334
256.167,256.234
257.334,257.367
257.5,257.534
257.834,257.867
257.934,257.967
258.534,258.567
259.134,259.2
259.634,259.7
259.967,260.0
260.067,260.134
260.534,260.634
262.4,262.434
263.5,263.6
264.034,264.167
265.134,265.267
265.4,265.5
266.5,266.534
266.8,266.834
269.334,269.434
269.8,269.867
270.234,270.267
270.4,270.5
270.734,270.8
271.0,271.034
272.834,273.1
273.167,273.267
273.4,273.534
273.934,274.1
274.334,274.367
274.5,274.534
275.267,275.3
276.834,276.867
277.534,277.567
277.834,277.867
279.834,279.9
280.3,280.334
280.9,281.467
282.134,282.234
282.5,282.534
283.634,283.767
285.067,285.1
286.067,286.1
286.5,286.534
286.6,286.634
287.8,287.834
288.434,288.467
288.534,288.567
288.834,288.867
289.234,289.3
289.367,289.4
290.667,290.734
291.2,291.267
291.6,291.634
292.334,292.367
292.834,292.867
293.267,293.334
293.4,293.5
293.767,293.8
293.9,293.934
295.234,295.267
295.567,295.667
296.034,296.167
297.2,297.234
298.467,298.534
300.767,300.8
301.7,301.767
302.767,302.9
303.1,303.167
303.434,303.467
303.6,303.934
304.234,304.267
304.334,304.4
304.867,304.9
306.134,306.167
307.334,307.4
308.267,308.3
309.967,310.0
310.1,310.367
310.434,310.467
310.567,310.6
311.934,311.967
313.767,313.8
313.9,314.0
315.767,315.8
319.267,319.334
319.567,319.667
320.034,320.134
320.334,320.434
320.567,320.6
320.934,320.967
321.034,321.067
326.234,326.267
330.7,330.8
330.867,330.9
331.134,331.167
332.9,332.967
333.034,333.067
335.267,335.4
336.034,336.1
338.634,338.667
339.934,339.967
344.567,344.6
345.267,345.3
345.6,345.634
348.2,348.234
348.7,348.767
348.934,348.967
350.834,350.867
352.867,352.9
354.067,354.134
354.934,355.067
356.1,356.167
356.234,356.267
357.467,357.6
360.567,360.6
361.5,361.534
361.667,361.7
361.934,361.967
362.534,362.567
362.834,362.934
366.334,366.367
369.8,369.9
370.0,370.067
370.6,370.667
372.3,372.334
378.667,378.7
381.334,381.634
381.7,381.734
382.534,382.567
385.834,385.867
386.1,386.134
386.967,387.067
388.767,388.8
390.434,390.534
390.634,390.834
393.834,393.867
394.034,394.3
394.5,394.6
395.234,395.267
395.4,395.434
395.5,395.767
395.834,395.867
396.034,396.067
396.134,396.234
396.334,396.434
396.5,396.6
396.867,396.9
397.167,397.234
397.434,397.467
397.9,397.967
398.067,398.1
398.634,398.667
399.434,399.567
399.634,399.9
400.034,400.067
400.234,400.5
401.967,402.1
402.334,402.367
402.6,402.634
402.867,402.9
403.4,403.434
404.134,404.167
404.267,404.334
405.967,406.0
407.567,407.6
410.1,410.2
410.534,410.567
410.8,410.834
411.367,411.4
411.467,411.5
411.967,412.034
412.1,412.134
412.567,412.634
413.167,413.2
413.267,413.334
413.567,413.634
413.9,413.934
414.0,414.1
415.367,415.4
416.9,416.967
417.5,417.534
417.634,417.767
418.034,418.767
421.334,421.367
422.934,423.0
423.767,423.8
424.8,424.934
427.067,427.1
428.3,428.334
432.634,432.667
432.934,433.0
434.767,434.8
437.0,437.1
437.167,437.267
438.134,438.2
438.7,438.767
438.834,438.867
439.734,439.834
440.334,440.434
441.3,441.334
442.1,442.134
443.1,443.134
445.1,445.134
455.234,455.3
456.834,456.867
457.767,457.8
459.667,459.734
459.867,459.967
460.7,460.734
461.667,461.967
462.067,462.134
462.267,462.5
462.7,462.767
463.067,463.2
463.467,463.5
463.767,463.934
464.134,464.4
464.5,464.667
464.734,464.767
465.134,465.167
466.434,466.467
466.734,466.767
466.9,466.934
467.034,467.1
467.4,467.434
467.5,467.534
467.7,467.734
467.8,467.834
468.067,468.134
468.267,468.4
468.534,468.7
468.8,468.9
468.967,469.034
469.134,469.167
469.334,469.567
469.634,469.667
469.867,470.067
470.234,470.567
470.8,470.9
471.967,472.0
472.1,472.134
472.534,472.7
473.0,473.067
473.367,473.4
473.467,473.534
473.767,473.8
473.9,474.1
474.234,474.3
474.4,474.434
474.5,474.767
474.834,475.0
475.134,475.167
475.234,475.4
475.867,475.9
476.067,476.1
476.167,476.267
476.334,476.367
476.5,476.534
476.6,476.867
477.234,477.334
477.4,477.5
477.634,477.8
477.867,478.1
478.334,478.367
478.467,478.534
478.7,478.767
478.834,478.9
479.234,479.334
479.467,479.534
480.134,480.334
480.867,481.034
481.1,481.2
481.367,481.534
481.6,481.867
481.967,482.1
482.2,482.734
483.067,483.1
483.934,484.134
487.234,487.267
487.634,487.667
487.767,487.8
488.0,488.067
488.234,488.3
488.367,488.434
488.6,488.634
488.767,488.967
489.267,489.3
489.434,489.667
489.734,489.767
489.967,490.234
490.534,490.634
490.8,490.834
491.0,491.034
491.2,491.367
491.434,491.567
491.7,491.734
491.867,491.934
492.034,492.1
492.3,492.334
492.434,492.867
493.034,493.067
493.134,493.267
493.4,493.834
493.934,494.1
494.167,494.534
495.8,495.867
498.934,498.967
500.934,501.0
502.234,502.3
504.0,504.034
504.534,504.6
504.7,504.867
505.267,505.6
505.9,505.934
506.067,506.134
506.667,506.734
511.234,511.334
511.467,511.9
511.967,512.034
513.067,513.167
513.6,513.634
514.0,514.067
514.367,514.467
514.867,514.9
515.634,515.667
516.3,516.467
518.034,518.067
518.3,518.334
521.034,521.2
521.867,521.9
522.634,522.9
523.034,523.167
523.267,523.3
525.067,525.134
527.034,527.067
527.434,527.5
528.2,528.234
528.367,528.4
528.534,528.567
529.367,529.4
529.834,529.9
530.934,530.967
534.034,534.067
534.3,534.4
534.567,534.7
535.934,535.967
536.334,536.367
536.7,536.767
536.867,536.934
537.6,537.7
537.834,537.867
538.734,538.9
540.834,540.867
541.967,542.0
543.134,543.267
545.467,545.534
546.667,546.767
547.3,547.334
547.767,547.867
550.4,550.434
550.6,550.7
551.234,551.3
552.034,552.067
552.167,552.2
553.334,554.167
554.534,554.767
555.9,555.934
560.6,560.634
561.934,561.967
563.567,563.6
564.0,564.134
564.234,564.3
566.1,566.134
566.2,566.267
566.4,566.5
567.4,567.467
567.534,567.567
568.167,568.267
568.5,568.534
568.934,568.967
569.134,569.234
569.367,569.467
569.767,569.8
570.1,570.334
570.5,570.534
570.634,570.767
570.867,570.9
571.267,571.3
571.434,571.534
571.667,571.834
572.0,572.234
572.3,572.367
572.467,573.434
573.534,574.167
574.3,574.634
574.7,574.734
574.834,574.9
575.2,575.367
575.467,575.767
576.167,576.234
577.2,577.267
579.767,579.8
580.267,580.3
582.7,582.734
583.667,583.7
585.534,585.567
585.734,585.8
585.9,586.034
586.6,586.667
586.9,586.967
587.4,587.467
587.767,587.834
588.067,588.134
589.134,589.167
589.234,589.3
589.5,589.534
589.634,589.667
590.0,590.167
590.7,590.734
593.7,593.834
596.9,596.934
597.534,597.567
598.334,598.6
598.7,598.734
598.8,598.834
599.0,599.034
599.2,599.234
599.3,599.467
599.534,599.734
600.0,600.034
600.167,600.2
600.467,600.6
600.667,601.134
601.267,601.367
601.467,601.567
601.767,601.8
601.9,601.934
602.0,602.334
602.5,604.167
604.234,604.334
604.6,604.634
605.1,605.167
605.5,605.534
605.6,606.3
606.567,606.7
606.767,606.8
606.934,607.1
607.2,607.267
610.167,610.2
611.367,611.4
611.5,611.534
614.034,614.067
614.3,614.434
614.534,614.9
615.0,615.2
615.3,615.567
615.634,615.767
615.867,615.934
616.6,617.067
617.167,617.434
617.567,617.7
621.6,621.7
621.967,622.0
624.034,624.067
624.2,624.334
629.8,629.834
630.8,630.834
631.1,631.134
633.7,633.734
633.934,633.967
634.467,634.5
634.634,634.767
634.867,634.9
634.967,635.034
635.234,635.334
635.534,635.567
635.667,635.767
635.867,635.9
636.167,636.267
636.5,636.6
636.867,636.934
637.134,637.167
637.234,637.267
637.367,637.4
637.467,637.534
637.734,637.834
637.9,638.034
638.334,638.4
638.467,638.5
638.7,638.734
638.8,638.834
638.9,639.034
639.134,639.167
639.634,639.667
639.834,639.934
640.034,640.067
640.167,640.4
640.534,640.6
640.734,640.867
641.0,641.034
641.567,641.667
642.0,642.1
642.167,642.2
642.467,642.5
642.6,642.734
643.234,643.734
644.2,644.234
644.834,644.867
644.934,645.134
645.2,645.3
646.134,646.167
647.667,647.7
647.767,647.834
647.9,648.034
648.467,648.5
648.567,648.6
648.734,648.767
649.234,649.3
649.367,649.434
649.567,650.0
650.134,650.367
650.734,651.1
651.367,651.834
651.934,652.134
652.3,652.667
652.734,652.9
652.967,653.0
653.1,653.167
653.267,653.634
653.767,653.934
654.0,654.134
654.334,654.6
654.767,654.9
655.0,655.134
655.2,655.5
655.934,656.034
656.134,656.4
656.667,656.834
656.967,657.067
657.134,657.267
657.367,657.467
659.1,659.234
659.334,659.4
659.934,659.967
660.834,661.167
661.267,661.667
661.734,661.8
662.034,662.234
662.4,662.6
662.834,662.867
663.334,663.567
663.667,663.934
664.0,664.7
664.934,665.067
665.167,665.2
665.4,665.5
665.734,666.034
666.667,666.7
666.934,667.0
667.1,667.2
669.334,669.367
669.6,669.634
670.034,670.067
670.134,670.334
670.5,670.534
671.234,671.267
671.667,671.7
673.234,673.334
674.034,674.067
675.6,675.634
676.5,676.567
676.7,676.734
677.167,677.234
677.367,677.4
677.5,677.6
678.334,678.367
678.867,678.9
679.0,679.067
679.134,679.167
679.3,679.367
679.6,679.7
680.067,680.1
680.367,680.467
680.534,680.767
681.234,681.267
682.067,682.134
682.2,682.267
682.4,682.434
682.567,682.7
682.8,682.834
687.834,687.967
688.034,688.067
688.134,688.234
689.067,689.134
689.967,690.0
690.1,690.134
690.867,690.967
691.7,691.734
691.934,691.967
693.8,693.867
694.834,694.867
695.967,696.034
696.6,696.767
697.634,697.667
699.1,699.2
699.267,699.3
700.934,700.967
701.834,701.867
702.134,702.234
702.6,702.634
702.7,702.734
702.834,702.867
703.367,703.4
703.867,703.934
704.534,704.567
704.9,704.934
705.3,705.367
706.867,706.934
707.0,707.034
707.367,707.4
708.1,708.134
708.9,708.934
709.034,709.067
709.267,709.367
709.567,709.767
710.067,710.1
710.6,710.634
714.367,714.4
714.5,714.534
714.867,714.967
715.234,715.367
716.367,716.4
716.834,716.9
717.2,717.467
718.734,718.834
719.167,719.2
719.567,719.634
720.634,720.667
721.0,721.1
723.834,723.867
725.334,725.367
725.8,725.834
726.634,726.667
726.9,727.134
727.534,727.567
727.634,727.867
728.634,728.667
728.734,728.8
728.867,728.967
729.134,729.234
729.367,729.467
729.667,729.734
729.8,729.834
730.034,730.067
730.2,730.267
730.367,730.4
731.167,731.434
731.7,731.767
731.967,732.134
732.334,732.534
733.0,733.234
733.5,733.567
734.0,734.034
736.167,736.234
737.434,737.467
737.967,738.0
738.067,738.1
738.434,738.467
738.767,738.867
739.0,739.034
739.234,739.267
739.967,740.0
740.134,740.167
740.234,740.267
740.367,740.467
740.534,740.8
741.4,741.434
741.8,742.067
742.134,742.234
742.7,742.734
743.334,743.4
744.3,744.334
746.167,746.2
746.4,746.567
747.134,747.167
748.267,748.334
749.4,749.434
750.3,750.334
750.634,750.667
750.734,750.834
751.434,751.467
753.634,753.667
753.834,753.867
754.5,754.567
755.134,755.2
755.567,755.6
755.734,755.767
756.0,756.034
758.167,758.2
758.334,758.367
759.1,759.134
761.0,761.034
761.267,761.3
762.334,762.367
762.434,762.467
764.8,764.834
765.267,765.334
765.4,765.434
765.5,765.734
766.767,767.134
767.867,767.934
768.034,768.067
768.234,768.367
768.467,768.5
768.7,769.067
769.4,769.434
776.7,776.734
783.834,783.867
785.134,785.167
785.334,785.367
786.534,786.6
786.7,786.767
794.1,794.134
794.234,794.367
794.667,794.767
794.9,794.967
795.134,795.167
796.9,796.934
798.1,798.167
798.334,798.367
799.0,799.034
799.8,799.834
800.167,800.3
800.4,800.467
803.367,803.434
807.367,807.4
808.767,808.834
814.734,814.767
815.0,815.067
815.5,815.667
815.867,815.9
815.967,816.167
816.234,816.3
816.734,817.067
817.234,817.367
817.534,817.567
821.134,821.267
822.8,822.9
823.834,823.9
826.267,826.3
830.1,830.3
831.734,831.767
835.6,835.634
836.1,836.134
836.267,836.3
837.134,837.2
837.434,837.467
840.8,840.967
843.367,843.4
843.6,843.634
848.1,848.134
848.8,848.967
852.734,852.767
854.567,854.667
855.534,855.567
859.367,859.4
859.667,859.7
860.5,860.534
861.467,861.534
861.7,861.734
862.4,862.467
862.567,862.6
862.8,862.834
862.9,862.934
865.267,865.3
868.434,868.467
868.7,868.767
868.967,869.1
869.3,869.4
869.5,869.534
869.734,869.967
870.067,870.1
870.3,870.367
871.467,871.5
871.734,871.8
872.567,872.667
873.167,873.267
876.3,876.334
