Onset,Offset
214.767,214.8
215.1,215.134
215.2,215.367
215.567,215.6
215.667,215.734
216.2,216.267
216.367,216.5
216.967,217.0
217.767,218.367
218.434,218.7
218.834,219.0
219.2,219.334
219.467,219.634
219.767,220.0
220.1,220.3
220.4,220.8
220.9,221.667
222.267,222.334
222.734,222.767
222.967,223.034
223.367,223.4
223.5,223.867
224.234,224.467
224.667,224.7
224.934,224.967
225.267,225.3
225.6,225.634
225.867,225.967
226.067,226.1
226.367,226.4
226.634,226.834
226.967,227.0
228.4,228.534
228.667,228.834
228.9,229.1
229.334,229.367
229.7,229.734
229.834,230.067
230.134,230.167
231.034,231.067
231.367,231.467
232.234,232.3
232.8,232.834
232.934,232.967
233.5,233.7
233.934,234.4
234.534,234.567
235.067,235.167
235.4,235.6
236.767,236.8
237.034,237.134
237.267,237.8
237.9,238.0
238.1,238.434
238.667,238.8
239.4,239.467
240.234,240.3
240.8,240.834
241.734,241.767
241.9,241.967
243.4,243.467
243.867,243.9
244.034,244.067
244.134,244.167
244.234,244.267
244.367,244.434
246.567,246.6
247.3,247.334
247.567,248.067
249.167,249.2
250.1,250.167
250.367,250.467
250.767,250.8
250.934,251.0
251.1,251.167
252.034,252.067
252.3,252.367
252.467,252.567
253.467,253.5
255.867,255.9
257.067,257.2
257.967,258.234
258.7,258.734
258.867,258.967
259.667,259.967
260.1,260.234
260.6,260.834
260.934,261.034
261.134,261.367
261.467,261.567
262.667,262.7
263.567,263.6
263.834,264.2
264.3,264.8
264.9,265.834
265.967,266.4
266.767,266.8
266.934,267.1
267.734,268.034
268.6,268.734
269.267,269.3
269.634,269.667
269.767,269.8
270.0,270.034
270.167,270.3
270.367,270.4
270.567,270.934
271.034,271.134
271.567,271.667
272.3,272.334
272.567,272.6
272.8,272.834
272.934,273.1
273.2,273.434
273.534,273.634
274.167,274.2
274.8,274.834
276.334,276.367
276.9,276.934
277.134,277.734
278.034,278.467
278.567,279.1
279.3,279.334
279.534,280.167
280.234,280.267
280.367,280.767
280.9,281.967
282.134,282.434
282.534,282.567
282.9,283.034
283.334,283.367
283.467,283.5
283.667,283.734
284.4,284.434
286.134,286.167
286.667,286.8
286.967,287.0
287.067,287.1
287.334,287.4
287.767,287.8
288.3,288.534
288.7,288.934
289.067,289.367
289.467,289.534
289.6,289.834
289.934,289.967
290.2,290.234
290.434,290.7
291.867,292.1
292.234,292.334
292.467,292.567
292.734,292.767
293.334,293.6
293.867,293.934
294.0,294.034
294.1,294.167
294.4,294.467
294.6,294.667
294.967,295.034
295.234,295.3
295.5,295.534
296.067,296.2
301.167,301.234
301.4,301.434
303.8,303.834
304.634,304.7
304.8,305.2
305.667,306.1
306.634,306.667
307.167,307.267
307.767,307.834
308.367,308.4
308.7,308.734
310.034,310.134
310.667,310.734
310.867,310.9
312.334,312.4
312.567,312.834
313.934,314.067
314.2,314.267
314.467,314.7
314.767,314.867
315.167,315.234
315.3,315.434
315.567,315.8
316.1,316.267
317.5,317.567
317.667,317.7
318.934,319.067
319.167,319.234
320.767,320.8
322.267,322.3
322.4,322.434
322.667,322.767
323.334,323.367
324.6,324.634
324.767,324.8
325.134,325.167
325.6,325.767
326.667,326.8
326.934,327.067
327.134,327.234
327.367,327.4
327.534,327.567
328.567,328.634
329.434,329.467
329.567,329.734
330.0,330.034
330.434,330.5
330.767,330.8
331.0,331.067
331.234,331.267
331.567,331.667
331.834,331.934
333.1,333.334
333.7,333.767
335.167,335.234
335.567,335.6
335.9,335.934
336.267,336.334
337.334,337.367
337.534,337.567
338.1,338.134
338.334,338.4
338.767,338.8
339.667,339.7
340.567,340.634
341.067,341.1
341.5,341.534
342.167,342.567
342.734,342.9
343.767,343.8
344.234,344.267
344.367,344.4
344.934,344.967
345.5,345.534
345.6,345.667
345.8,345.834
346.534,346.667
346.9,346.934
347.367,347.4
347.467,347.634
348.3,348.367
349.034,349.1
349.634,349.8
350.467,350.6
351.567,351.634
351.7,351.8
351.867,351.9
352.267,352.334
352.8,352.867
353.334,353.4
353.6,353.634
353.8,353.834
354.067,354.1
354.167,354.234
354.6,354.634
355.367,355.534
355.6,355.634
355.7,355.734
355.8,355.867
355.967,356.1
356.667,356.7
357.2,357.234
359.234,359.267
359.5,359.567
359.634,359.8
360.334,360.367
360.634,361.0
361.1,361.3
361.767,362.0
362.2,362.267
362.5,362.534
362.8,362.834
363.1,363.167
363.8,364.334
364.6,364.734
364.834,364.867
365.434,365.467
366.4,366.6
367.8,367.867
368.067,368.167
368.267,368.3
368.4,368.5
368.6,368.667
368.767,368.834
368.934,368.967
369.4,369.567
370.067,370.167
370.434,370.467
370.634,370.667
372.1,372.134
372.367,372.5
372.667,372.9
373.167,373.234
374.167,374.267
374.367,374.4
375.134,375.2
375.4,375.434
375.534,375.634
376.8,376.834
379.134,379.167
379.334,379.634
380.134,380.167
380.234,380.267
380.534,380.567
380.834,381.034
381.167,381.2
381.3,381.434
382.067,382.134
382.967,383.0
384.434,384.7
385.1,385.167
385.5,385.534
385.6,385.834
386.734,386.767
388.1,388.134
388.567,388.634
388.8,388.834
388.9,388.934
389.067,389.134
389.5,389.6
389.867,390.0
391.134,391.2
391.334,391.4
392.867,392.9
393.4,393.434
393.5,393.567
394.234,394.367
395.434,395.467
395.6,395.634
395.867,396.034
396.167,396.2
396.367,396.667
396.767,396.8
397.167,397.2
397.5,397.534
398.434,398.5
398.934,399.0
399.534,399.634
399.834,400.034
400.134,400.167
400.634,400.667
400.767,400.8
400.934,401.0
401.3,401.7
401.8,401.867
401.934,401.967
402.1,403.067
403.2,403.234
405.4,405.434
405.667,405.7
406.534,406.567
406.634,406.667
407.934,408.0
408.2,408.234
408.567,408.667
408.767,408.834
410.367,410.4
410.467,410.6
410.7,410.767
411.367,411.467
412.5,412.534
412.6,412.667
412.8,412.867
413.067,413.1
413.3,413.334
413.7,413.734
414.334,414.4
414.7,414.834
414.967,415.0
415.434,415.5
416.867,416.9
416.967,417.1
418.067,418.1
418.567,418.667
419.0,419.034
419.1,419.134
419.3,419.334
419.434,419.467
419.534,419.6
420.0,420.034
420.234,420.3
420.5,420.534
420.6,420.767
420.934,420.967
421.234,421.267
422.6,422.667
426.067,426.134
427.7,427.734
427.834,427.867
427.967,428.067
428.334,428.367
429.5,429.534
429.634,429.734
429.9,430.1
430.2,430.334
431.767,431.8
431.934,431.967
432.8,432.834
432.967,433.067
434.034,434.067
435.934,435.967
436.067,436.134
436.367,436.4
436.667,436.7
437.067,437.1
437.534,437.6
437.834,437.9
438.0,438.034
438.134,438.167
438.567,438.6
438.7,438.734
439.067,439.1
439.4,439.434
439.867,439.9
440.334,440.367
441.334,441.367
442.834,442.934
443.1,443.4
444.434,444.467
444.967,445.0
445.267,445.3
445.534,445.6
447.6,447.634
448.467,448.5
448.7,448.734
449.0,449.134
451.0,451.034
452.634,452.667
452.834,452.967
453.667,453.7
454.234,454.267
454.967,455.0
455.667,455.7
455.767,455.8
456.234,456.267
456.867,456.9
457.4,457.434
458.167,458.2
459.634,459.667
460.0,460.034
460.134,460.167
460.867,460.934
461.867,461.9
462.667,462.8
463.367,463.734
463.934,464.067
464.367,464.4
466.034,466.067
467.234,467.267
468.367,468.4
468.567,468.634
469.067,469.1
469.234,469.3
472.3,472.334
472.6,472.634
