record started at: 07-05-18 04:47:25

file format version: 4
captureMode: Offline
eye resolution: 640x480 scene resolution: 1280x720
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH

1 1 29.41 0:00:00:00.34/1000 0:00:00:00.00/1000 1206.98 -155.05 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
2 2 29.85 0:00:00:00.67/1000 0:00:00:00.34/1000 384.65 120.87 329.24 206.53 -1000.00 -1000.00 35.00 23.00 
3 2 30.00 0:00:00:00.100/1000 0:00:00:00.67/1000 423.77 183.73 325.08 213.62 -1000.00 -1000.00 42.00 55.00 
4 4 29.85 0:00:00:00.134/1000 0:00:00:00.100/1000 451.24 152.86 322.02 208.05 -1000.00 -1000.00 42.00 59.00 
5 5 29.94 0:00:00:00.167/1000 0:00:00:00.134/1000 458.09 152.47 321.22 207.68 -1000.00 -1000.00 42.00 59.00 
6 5 30.00 0:00:00:00.200/1000 0:00:00:00.167/1000 460.52 156.12 320.93 208.11 -1000.00 -1000.00 41.00 58.00 
7 7 29.91 0:00:00:00.234/1000 0:00:00:00.200/1000 464.67 163.87 320.44 209.06 -1000.00 -1000.00 40.00 58.00 
8 8 29.96 0:00:00:00.267/1000 0:00:00:00.234/1000 469.54 173.09 319.87 210.21 -1000.00 -1000.00 44.00 59.00 
9 8 30.00 0:00:00:00.300/1000 0:00:00:00.267/1000 472.75 183.19 319.49 211.57 -1000.00 -1000.00 42.00 58.00 
10 10 29.94 0:00:00:00.334/1000 0:00:00:00.300/1000 473.09 189.68 319.45 212.51 -1000.00 -1000.00 40.00 57.00 
11 11 29.97 0:00:00:00.367/1000 0:00:00:00.334/1000 472.74 198.91 319.50 213.88 -1000.00 -1000.00 40.00 58.00 
12 11 30.00 0:00:00:00.400/1000 0:00:00:00.367/1000 472.11 211.93 319.59 215.81 -1000.00 -1000.00 43.00 59.00 
13 13 29.95 0:00:00:00.434/1000 0:00:00:00.400/1000 469.94 224.21 319.85 217.67 -1000.00 -1000.00 44.00 60.00 
14 14 29.98 0:00:00:00.467/1000 0:00:00:00.434/1000 468.17 235.05 320.07 219.29 -1000.00 -1000.00 43.00 60.00 
15 14 30.00 0:00:00:00.500/1000 0:00:00:00.467/1000 472.31 243.99 319.59 220.43 -1000.00 -1000.00 43.00 60.00 
16 16 29.96 0:00:00:00.534/1000 0:00:00:00.500/1000 481.68 256.23 318.48 221.90 -1000.00 -1000.00 42.00 60.00 
17 17 29.98 0:00:00:00.567/1000 0:00:00:00.534/1000 487.88 266.05 317.74 223.13 -1000.00 -1000.00 39.00 59.00 
18 17 30.00 0:00:00:00.600/1000 0:00:00:00.567/1000 523.37 148.49 312.92 203.74 -1000.00 -1000.00 54.00 63.00 
19 19 29.97 0:00:00:00.634/1000 0:00:00:00.600/1000 614.72 -34.73 297.32 162.36 -1000.00 -1000.00 57.00 51.00 
20 20 29.99 0:00:00:00.667/1000 0:00:00:00.634/1000 672.87 -108.15 284.36 136.94 -1000.00 -1000.00 55.00 45.00 
21 20 30.00 0:00:00:00.700/1000 0:00:00:00.667/1000 673.74 -114.28 284.07 135.29 -1000.00 -1000.00 56.00 48.00 
22 22 29.97 0:00:00:00.734/1000 0:00:00:00.700/1000 660.59 -111.52 287.11 138.37 -1000.00 -1000.00 56.00 49.00 
23 23 29.99 0:00:00:00.767/1000 0:00:00:00.734/1000 648.80 -111.29 289.70 140.50 -1000.00 -1000.00 57.00 50.00 
24 23 30.00 0:00:00:00.800/1000 0:00:00:00.767/1000 635.58 -108.88 292.51 143.29 -1000.00 -1000.00 58.00 53.00 
25 25 29.98 0:00:00:00.834/1000 0:00:00:00.800/1000 624.62 -106.51 294.75 145.59 -1000.00 -1000.00 55.00 52.00 
26 26 29.99 0:00:00:00.867/1000 0:00:00:00.834/1000 614.67 -134.77 296.44 140.93 -1000.00 -1000.00 57.00 49.00 
27 26 30.00 0:00:00:00.900/1000 0:00:00:00.867/1000 606.11 -163.34 297.85 136.02 -1000.00 -1000.00 54.00 47.00 
28 28 29.98 0:00:00:00.934/1000 0:00:00:00.900/1000 599.85 -161.36 299.06 137.52 -1000.00 -1000.00 56.00 51.00 
29 29 29.99 0:00:00:00.967/1000 0:00:00:00.934/1000 592.81 -157.72 300.40 139.48 -1000.00 -1000.00 53.00 49.00 
30 29 30.00 0:00:00:01.00/1000 0:00:00:00.967/1000 587.37 -156.12 301.41 140.70 -1000.00 -1000.00 53.00 49.00 
31 31 29.98 0:00:00:01.34/1000 0:00:00:01.00/1000 584.45 -154.96 301.95 141.41 -1000.00 -1000.00 55.00 53.00 
32 32 29.99 0:00:00:01.67/1000 0:00:00:01.34/1000 582.39 -153.49 302.33 142.05 -1000.00 -1000.00 53.00 51.00 
33 32 30.00 0:00:00:01.100/1000 0:00:00:01.67/1000 579.81 -153.14 302.79 142.52 -1000.00 -1000.00 53.00 49.00 
34 34 29.98 0:00:00:01.134/1000 0:00:00:01.100/1000 574.67 -153.14 303.69 143.31 -1000.00 -1000.00 53.00 50.00 
35 35 29.99 0:00:00:01.167/1000 0:00:00:01.134/1000 566.90 -152.11 305.04 144.70 -1000.00 -1000.00 55.00 53.00 
36 35 30.00 0:00:00:01.200/1000 0:00:00:01.167/1000 555.27 -151.23 307.00 146.58 -1000.00 -1000.00 54.00 54.00 
37 37 29.98 0:00:00:01.234/1000 0:00:00:01.200/1000 535.80 -151.90 310.13 149.17 -1000.00 -1000.00 51.00 52.00 
38 38 29.99 0:00:00:01.267/1000 0:00:00:01.234/1000 559.51 -129.20 306.41 150.43 -1000.00 -1000.00 50.00 52.00 
39 38 30.00 0:00:00:01.300/1000 0:00:00:01.267/1000 690.30 -48.73 281.16 148.19 -1000.00 -1000.00 63.00 50.00 
40 40 29.99 0:00:00:01.334/1000 0:00:00:01.300/1000 819.15 48.42 245.64 150.20 -1000.00 -1000.00 66.00 60.00 
41 41 29.99 0:00:00:01.367/1000 0:00:00:01.334/1000 874.42 103.60 225.92 155.64 -1000.00 -1000.00 66.00 63.00 
