record started at: 08-16-18 11:07:00

file format version: 4
captureMode: Offline
eye resolution: 640x480 scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH

1 1 29.41 0:00:00:00.34/1000 0:00:00:00.00/1000 364.17 46.94 394.79 256.49 -1000.00 -1000.00 43.00 53.00 
2 2 29.85 0:00:00:00.67/1000 0:00:00:00.34/1000 364.58 47.81 394.56 256.80 -1000.00 -1000.00 43.00 55.00 
3 2 30.00 0:00:00:00.100/1000 0:00:00:00.67/1000 364.86 48.58 394.39 257.07 -1000.00 -1000.00 45.00 55.00 
4 4 29.85 0:00:00:00.134/1000 0:00:00:00.100/1000 364.74 49.83 394.33 257.55 -1000.00 -1000.00 42.00 51.00 
5 5 29.94 0:00:00:00.167/1000 0:00:00:00.134/1000 365.08 50.95 394.10 257.95 -1000.00 -1000.00 47.00 56.00 
6 5 30.00 0:00:00:00.200/1000 0:00:00:00.167/1000 365.91 51.55 393.73 258.14 -1000.00 -1000.00 46.00 57.00 
7 7 29.91 0:00:00:00.234/1000 0:00:00:00.200/1000 366.64 52.52 393.36 258.47 -1000.00 -1000.00 49.00 59.00 
8 8 29.96 0:00:00:00.267/1000 0:00:00:00.234/1000 367.02 53.85 393.10 258.95 -1000.00 -1000.00 47.00 59.00 
9 8 30.00 0:00:00:00.300/1000 0:00:00:00.267/1000 366.93 55.53 392.99 259.58 -1000.00 -1000.00 45.00 55.00 
10 10 29.94 0:00:00:00.334/1000 0:00:00:00.300/1000 367.27 57.00 392.74 260.12 -1000.00 -1000.00 42.00 54.00 
11 11 29.97 0:00:00:00.367/1000 0:00:00:00.334/1000 368.16 57.45 392.35 260.25 -1000.00 -1000.00 44.00 55.00 
12 11 30.00 0:00:00:00.400/1000 0:00:00:00.367/1000 369.39 56.88 391.92 259.99 -1000.00 -1000.00 44.00 54.00 
13 13 29.95 0:00:00:00.434/1000 0:00:00:00.400/1000 370.60 56.97 391.44 259.97 -1000.00 -1000.00 42.00 56.00 
14 14 29.98 0:00:00:00.467/1000 0:00:00:00.434/1000 370.85 57.24 391.32 260.06 -1000.00 -1000.00 39.00 54.00 
15 14 30.00 0:00:00:00.500/1000 0:00:00:00.467/1000 371.19 56.98 391.21 259.95 -1000.00 -1000.00 43.00 56.00 
16 16 29.96 0:00:00:00.534/1000 0:00:00:00.500/1000 372.63 55.93 390.73 259.51 -1000.00 -1000.00 46.00 56.00 
17 17 29.98 0:00:00:00.567/1000 0:00:00:00.534/1000 373.01 56.09 390.57 259.55 -1000.00 -1000.00 45.00 58.00 
18 17 30.00 0:00:00:00.600/1000 0:00:00:00.567/1000 325.65 73.47 407.26 267.69 -1000.00 -1000.00 43.00 59.00 
19 19 29.97 0:00:00:00.634/1000 0:00:00:00.600/1000 241.89 114.09 433.81 284.41 -1000.00 -1000.00 34.00 45.00 
20 20 29.99 0:00:00:00.667/1000 0:00:00:00.634/1000 188.57 156.55 447.92 299.63 -1000.00 -1000.00 27.00 37.00 
21 20 30.00 0:00:00:00.700/1000 0:00:00:00.667/1000 174.90 165.71 451.54 302.81 -1000.00 -1000.00 29.00 48.00 
22 22 29.97 0:00:00:00.734/1000 0:00:00:00.700/1000 183.10 148.84 450.40 297.24 -1000.00 -1000.00 33.00 56.00 
23 23 29.99 0:00:00:00.767/1000 0:00:00:00.734/1000 189.06 137.06 449.51 293.28 -1000.00 -1000.00 33.00 56.00 
24 23 30.00 0:00:00:00.800/1000 0:00:00:00.767/1000 194.00 126.45 448.85 289.69 -1000.00 -1000.00 32.00 50.00 
25 25 29.98 0:00:00:00.834/1000 0:00:00:00.800/1000 198.20 116.58 448.36 286.33 -1000.00 -1000.00 25.00 47.00 
26 26 29.99 0:00:00:00.867/1000 0:00:00:00.834/1000 201.57 116.65 447.23 286.27 -1000.00 -1000.00 36.00 62.00 
27 26 30.00 0:00:00:00.900/1000 0:00:00:00.867/1000 202.51 127.05 445.98 289.70 -1000.00 -1000.00 37.00 56.00 
28 28 29.98 0:00:00:00.934/1000 0:00:00:00.900/1000 203.50 131.93 445.21 291.29 -1000.00 -1000.00 37.00 58.00 
29 29 29.99 0:00:00:00.967/1000 0:00:00:00.934/1000 205.61 134.18 444.30 291.98 -1000.00 -1000.00 36.00 49.00 
